y_now,v_now,y_next,v_next
202.75932711065224,-39.2,163.55932711065225,-49.0
255.636896754527,0.0,255.636896754527,-9.8
255.636896754527,-9.8,245.83689675452698,-19.6
245.83689675452698,-19.6,226.23689675452698,-29.400000000000002
226.23689675452698,-29.400000000000002,196.83689675452698,-39.2
196.83689675452698,-39.2,157.63689675452696,-49.0
429.287154846101,0.0,429.287154846101,-9.8
429.287154846101,-9.8,419.48715484610096,-19.6
419.48715484610096,-19.6,399.88715484610094,-29.400000000000002
399.88715484610094,-29.400000000000002,370.48715484610096,-39.2
370.48715484610096,-39.2,331.287154846101,-49.0
202.43760159327155,0.0,202.43760159327155,-9.8
202.43760159327155,-9.8,192.63760159327154,-19.6
192.63760159327154,-19.6,173.03760159327155,-29.400000000000002
173.03760159327155,-29.400000000000002,143.63760159327154,-39.2
143.63760159327154,-39.2,104.43760159327154,-49.0
265.3286367234184,0.0,265.3286367234184,-9.8
265.3286367234184,-9.8,255.5286367234184,-19.6
255.5286367234184,-19.6,235.9286367234184,-29.400000000000002
235.9286367234184,-29.400000000000002,206.5286367234184,-39.2
206.5286367234184,-39.2,167.3286367234184,-49.0
56.862119913688716,0.0,56.862119913688716,-9.8
56.862119913688716,-9.8,47.06211991368872,-19.6
47.06211991368872,-19.6,27.462119913688717,-29.400000000000002
27.462119913688717,-29.400000000000002,-1.937880086311285,-39.2
187.08016792092877,0.0,187.08016792092877,-9.8
187.08016792092877,-9.8,177.28016792092876,-19.6
177.28016792092876,-19.6,157.68016792092877,-29.400000000000002
157.68016792092877,-29.400000000000002,128.28016792092876,-39.2
128.28016792092876,-39.2,89.08016792092876,-49.0
257.90832986490364,0.0,257.90832986490364,-9.8
257.90832986490364,-9.8,248.10832986490362,-19.6
248.10832986490362,-19.6,228.50832986490363,-29.400000000000002
228.50832986490363,-29.400000000000002,199.10832986490362,-39.2
199.10832986490362,-39.2,159.90832986490364,-49.0
77.30688909822152,0.0,77.30688909822152,-9.8
77.30688909822152,-9.8,67.50688909822152,-19.6
67.50688909822152,-19.6,47.90688909822152,-29.400000000000002
47.90688909822152,-29.400000000000002,18.506889098221517,-39.2
18.506889098221517,-39.2,-20.693110901778486,-49.0
367.39527087681773,0.0,367.39527087681773,-9.8
367.39527087681773,-9.8,357.5952708768177,-19.6
357.5952708768177,-19.6,337.9952708768177,-29.400000000000002
337.9952708768177,-29.400000000000002,308.5952708768177,-39.2
308.5952708768177,-39.2,269.39527087681773,-49.0
297.6508919643326,0.0,297.6508919643326,-9.8
297.6508919643326,-9.8,287.85089196433256,-19.6
287.85089196433256,-19.6,268.25089196433254,-29.400000000000002
268.25089196433254,-29.400000000000002,238.85089196433253,-39.2
238.85089196433253,-39.2,199.65089196433252,-49.0
78.5559309403275,0.0,78.5559309403275,-9.8
78.5559309403275,-9.8,68.7559309403275,-19.6
68.7559309403275,-19.6,49.1559309403275,-29.400000000000002
49.1559309403275,-29.400000000000002,19.7559309403275,-39.2
19.7559309403275,-39.2,-19.444069059672504,-49.0
269.4766351663839,0.0,269.4766351663839,-9.8
269.4766351663839,-9.8,259.6766351663839,-19.6
259.6766351663839,-19.6,240.0766351663839,-29.400000000000002
240.0766351663839,-29.400000000000002,210.6766351663839,-39.2
210.6766351663839,-39.2,171.47663516638391,-49.0
373.4142807630811,0.0,373.4142807630811,-9.8
373.4142807630811,-9.8,363.61428076308107,-19.6
363.61428076308107,-19.6,344.01428076308105,-29.400000000000002
344.01428076308105,-29.400000000000002,314.61428076308107,-39.2
314.61428076308107,-39.2,275.4142807630811,-49.0
243.48879815534235,0.0,243.48879815534235,-9.8
243.48879815534235,-9.8,233.68879815534234,-19.6
233.68879815534234,-19.6,214.08879815534235,-29.400000000000002
214.08879815534235,-29.400000000000002,184.68879815534234,-39.2
184.68879815534234,-39.2,145.48879815534235,-49.0
182.651680886048,0.0,182.651680886048,-9.8
182.651680886048,-9.8,172.851680886048,-19.6
172.851680886048,-19.6,153.251680886048,-29.400000000000002
153.251680886048,-29.400000000000002,123.851680886048,-39.2
123.851680886048,-39.2,84.651680886048,-49.0
158.01882039113295,0.0,158.01882039113295,-9.8
158.01882039113295,-9.8,148.21882039113294,-19.6
148.21882039113294,-19.6,128.61882039113294,-29.400000000000002
128.61882039113294,-29.400000000000002,99.21882039113294,-39.2
99.21882039113294,-39.2,60.018820391132934,-49.0
108.35941679637274,0.0,108.35941679637274,-9.8
108.35941679637274,-9.8,98.55941679637274,-19.6
98.55941679637274,-19.6,78.95941679637275,-29.400000000000002
